Brand,Variety,Style,Country,Stars,Top_Ten,Style_Missing,Review #,Review #,Review #
New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,"
",0,1.0,1.7313796001003217,7.855932199718614
Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,"
",0,0.9996122528111672,1.7300369249548386,7.855544677915663
Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,"
",0,0.9992245056223342,1.7286942498093556,7.8551570058813445
Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,"
",0,0.9988367584335014,1.7273515746638726,7.8547691834991324
Ching's Secret,Singapore Curry,Pack,India,3.75,"
",0,0.9984490112446684,1.7260088995183898,7.854381210652365
Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,"
",0,0.9980612640558356,1.7246662243729067,7.853993087224244
Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,"
",0,0.9976735168670027,1.7233235492274237,7.853604813097837
Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,"
",0,0.9972857696781698,1.7219808740819407,7.853216388156072
Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,"
",0,0.996898022489337,1.7206381989364576,7.8528278122817445
KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,"
",0,0.9965102753005041,1.7192955237909746,7.85243908535751
Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,"
",0,0.9961225281116712,1.7179528486454916,7.852050207265889
Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,5,"
",0,0.9957347809228383,1.7166101735000088,7.851661177889265
Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,"
",0,0.9953470337340055,1.7152674983545257,7.851271997109883
Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,"
",0,0.9949592865451725,1.7139248232090427,7.850882664809852
Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,"
",0,0.9945715393563397,1.7125821480635597,7.8504931808711405
KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,"
",0,0.9941837921675067,1.7112394729180767,7.850103545175582
TRDP,Mario Masala Noodles,Pack,India,3.75,"
",0,0.9937960449786739,1.7098967977725936,7.84971375760487
Yamachan,Tokyo Shoyu Ramen,Pack,USA,5,"
",0,0.9934082977898411,1.7085541226271108,7.849323818040561
Binh Tay,Mi Hai Cua,Pack,Vietnam,4,"
",0,0.9930205506010081,1.7072114474816278,7.848933726364071
Paldo,Premium Gomtang,Pack,South Korea,4,"
",0,0.9926328034121753,1.7058687723361448,7.848543482456679
Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,"
",0,0.9922450562233424,1.7045260971906617,7.848153086199526
Jackpot Teriyaki,Beef Ramen,Pack,USA,5,"
",0,0.9918573090345095,1.7031834220451787,7.847762537473608
KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,"
",0,0.9914695618456766,1.7018407468996957,7.847371836159788
Yamachan,Sapporo Miso Ramen,Pack,USA,4.75,"
",0,0.9910818146568438,1.7004980717542129,7.846980982138788
Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,"
",0,0.9906940674680108,1.6991553966087298,7.846589975291186
Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,"
",0,0.990306320279178,1.6978127214632468,7.846198815497425
Yum-Mie,Instant Noodles Beef In Light Soup Flavour,Pack,Ghana,3.5,"
",0,0.9899185730903451,1.6964700463177638,7.845807502637805
Nissin,Hakata Ramen Noodle White Tonkotsu,Bowl,Japan,4.75,"
",0,0.9895308259015122,1.6951273711722807,7.845416036592485
MyKuali,Penang White Curry Rice Vermicelli Soup,Bowl,Malaysia,5,"
",0,0.9891430787126794,1.6937846960267977,7.845024417241484
KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,"
",0,0.9887553315238464,1.6924420208813147,7.844632644464681
Samyang Foods,Paegaejang Ramen,Pack,South Korea,5,"
",0,0.9883675843350136,1.6910993457358319,7.844240718141811
Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,"
",0,0.9879798371461807,1.6897566705903488,7.843848638152472
Ottogi,Plain Instant Noodle No Soup Included,Pack,South Korea,Unrated,"
",0,0.9875920899573478,1.6884139954448658,7.8434564043761155
Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4,"
",0,0.987204342768515,1.6870713202993828,7.843064016692054
New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,"
",0,0.986816595579682,1.6857286451538998,7.842671474979457
KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5,"
",0,0.9864288483908492,1.6843859700084167,7.842278779117352
Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,"
",0,0.9860411012020163,1.683043294862934,7.841885928984623
KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5,"
",0,0.9856533540131834,1.6817006197174509,7.841492924460013
Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,"
",0,0.9852656068243505,1.6803579445719679,7.841099765422119
Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5,"
",0,0.9848778596355177,1.6790152694264848,7.8407064517494
Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,"
",0,0.9844901124466847,1.6776725942810018,7.840312983320164
Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,"
",0,0.9841023652578519,1.6763299191355188,7.8399193600125825
Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5,"
",0,0.983714618069019,1.674987243990036,7.839525581704678
Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5,"
",0,0.9833268708801861,1.673644568844553,7.839131648274333
Lele,Instant Noodles Beef,Pack,Ghana,3.5,"
",0,0.9829391236913533,1.67230189369907,7.838737559599282
Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5,"
",0,0.9825513765025203,1.6709592185535869,7.8383433155571165
Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4,"
",0,0.9821636293136875,1.6696165434081038,7.837948916025283
Nongshim,Shin Ramyun Black,Pack,South Korea,5,"
",0,0.9817758821248546,1.6682738682626208,7.837554360881084
Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,"
",0,0.9813881349360217,1.666931193117138,7.837159650001675
Uni-President,Pickled Cabbage Beef,Pack,China,4.25,"
",0,0.9810003877471888,1.665588517971655,7.836764783264067
Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2,"
",0,0.980612640558356,1.664245842826172,7.836369760545124
Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,"
",0,0.9802248933695231,1.662903167680689,7.835974581721566
Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5,"
",0,0.9798371461806902,1.6615604925352059,7.835579246669965
Uni-President,Mushroom Flavor,Pack,Vietnam,0,"
",0,0.9794493989918573,1.6602178173897228,7.8351837552667485
Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,"
",0,0.9790616518030244,1.6588751422442398,7.834788107388194
Sokensha,Curry Udon,Pack,Japan,3.5,"
",0,0.9786739046141916,1.657532467098757,7.8343923029104365
Nissin,Straits Reborn Laksa,Pack,Singapore,5,"
",0,0.9782861574253586,1.656189791953274,7.83399634170946
Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,"
",0,0.9778984102365258,1.654847116807791,7.8336002236611035
Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5,"
",0,0.977510663047693,1.653504441662308,7.833203948641057
Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,"
",0,0.97712291585886,1.652161766516825,7.8328075165248645
Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5,"
",0,0.9767351686700272,1.6508190913713419,7.83241092718792
Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,"
",0,0.9763474214811942,1.649476416225859,7.832014180505469
Samurai Ramen,Umami Ramen,Pack,Japan,4,"
",0,0.9759596742923614,1.648133741080376,7.831617276352611
Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,"
",0,0.9755719271035285,1.646791065934893,7.831220214604293
Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,"
",0,0.9751841799146956,1.64544839078941,7.830822995135316
Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5,"
",0,0.9747964327258627,1.644105715643927,7.830425617820331
Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,"
",0,0.9744086855370299,1.642763040498444,7.83002808253384
Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,3.5,"
",0,0.974020938348197,1.641420365352961,7.829630389150193
Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,"
",0,0.9736331911593641,1.640077690207478,7.829232537543592
Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5,"
",0,0.9732454439705313,1.638735015061995,7.828834527588089
MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5,"
",0,0.9728576967816983,1.637392339916512,7.828436359157585
Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,"
",0,0.9724699495928655,1.636049664771029,7.828038032125829
Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,"
",0,0.9720822024040325,1.634706989625546,7.827639546366422
Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4,"
",0,0.9716944552151997,1.633364314480063,7.827240901752812
KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,"
",0,0.9713067080263668,1.63202163933458,7.826842098158293
Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,"
",0,0.9709189608375339,1.630678964189097,7.826443135456014
Nongshim,Shin Ramyun,Pack,South Korea,3,"
",0,0.9705312136487011,1.629336289043614,7.826044013518965
Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0,"
",0,0.9701434664598682,1.627993613898131,7.825644732219989
Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,"
",0,0.9697557192710353,1.626650938752648,7.8252452914317745
Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,"
",0,0.9693679720822024,1.625308263607165,7.824845691026856
The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,"
",0,0.9689802248933695,1.6239655884616822,7.824445930877619
KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5,"
",0,0.9685924777045366,1.6226229133161991,7.824046010856292
Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,"
",0,0.9682047305157038,1.621280238170716,7.823645930834952
